sub_id,kid_age,kid_gender,kid_gender_code,kid_race,race_id,race_talk,race_convo_topic,race_convo_freq,rac_ineq_talk,rac_ineq_convo_topic,rac_ineq_convo_freq,raceid_talk,raceid_convo_topic,raceid_convo_freq,child_bias_target,child_become_bias,age,race,gender,gender_code,status_1,education,pol_views,time,race_colorblindness_code,race_focus_code,race_preparation_code,race_antibias_code,race_pride_code,race_racism_code,race_advantage_code,race_acknowledgement_code,race_no_code,rac_ineq_colorblindness_code,rac_ineq_focus_code,rac_ineq_preparation_code,rac_ineq_antibias_code,rac_ineq_pride_code,rac_ineq_racism_code,rac_ineq_advantage_code,rac_ineq_acknowledgement_code,rac_ineq_no_code,raceid_colorblindness_code,raceid_focus_code,raceid_preparation_code,raceid_antibias_code,raceid_pride_code,raceid_racism_code,raceid_advantage_code,raceid_acknowledgement_code,raceid_no_code
1,10,Female,0,White/European American,0,1,she asked about differences in people and why black and white people cant agree on some things,2,0,NA,NA,0,NA,NA,2,1,35,White/European American,Female,0,6,6,6,1,0,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,1,Female,0,White/European American,0,0,NA,NA,0,NA,NA,0,NA,NA,5,5,34,White/European American,Female,0,5,5,7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,3,Male,1,White/European American,0,0,NA,NA,0,NA,NA,0,NA,NA,1,3,34,White/European American,Female,0,5,8,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,15,Female,0,White/European American,0,1,They were watching the movie about ruby bridges.  We talked about how tough it was for her.  And how people should have been more supportive and encouraging.,2,1,Same conversation that I mentioned before.  The movie about ruby bridges.  And the inequality they had back then with schools.,2,0,NA,NA,1,1,44,White/European American,Female,0,6,6,4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,13,Male,1,White/European American,0,1,skin color. friends with different backgrounds. divesity,2,0,NA,NA,0,NA,NA,1,1,54,White/European American,Female,0,6,8,4.5,1,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,3,Male,1,White/European American,0,1,nothing I ca think of,2,1,nothing really,2,1,nothing,2,3,4,26,White/European American,Female,0,7,5,4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
9,4,Female,0,White/European American,0,0,NA,NA,0,NA,NA,0,NA,NA,1,1,36,White/European American,Female,0,7,8,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,10,Female,0,White/European American,0,0,NA,NA,0,NA,NA,0,NA,NA,4,4,36,White/European American,Female,0,8,5,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,10,Male,1,White/European American,0,1,why people where being mean to a certain person in a show,3,1,something was said in a tv show and he asked questions,2,0,NA,NA,3,2,43,White/European American,Female,0,5,4,4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,17,Female,0,White/European American,0,1,Random conversation about the unfairness of some races the way they’re treated and how it’s still not equal,3,1,The fact that racial inequality still exists but that I also don’t like how the white race is becoming the race to dislike.  Why can’t we focus on true equality of races?,3,1,The fact that different races experience this world differently and some are biased against,2,1,2,46,White/European American,Female,0,3,4,2,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
